ID	CONCEPT	CHINESE	VALUE	FORM	GLOSS_IN_SOURCE	TOKENS	MORPHEME_STRUCTURE	BORROWING	SAGART_ID	NOTE	COGID
	the snake	蛇	bər	bər							
	the knife	刀	bərdziʔ	bərdziʔ							
	the horse	马	breʔ	breʔ							
	to fall	掉落  (to come off) （壁纸之类的）脱落	bʌtʔ	bʌtʔ							
	to open	打开	cʰo	cʰo							
	to eat	吃	dzeʔ	dzeʔ							
	before	以前	dʒədʒəʔ	dʒədʒəʔ							
	today	今天	fsnə	fsnə							
	morning	早晨	fʃe	fʃe							
	the bird	鸟	ɣbjəm	ɣbjəm							
	the water	水	ɣdə	ɣdə							
	to buy	买	ɣdə	ɣdə							
	the fog	雾	ɣdzdəm	ɣdzdəm							
	the wind	风	ɣlə	ɣlə							
	the hand	手	jauʔ	jauʔ							
	the house	房子	jəm	jəm							
	the branch	树枝	jʌlgæ	jʌlgæ				Tib. yal.ga			
	the ant	蚂蚁	kʰʌ́raχ	kʰʌ́raχ							
	the child	小孩	lŋaʔ	lŋaʔ							
	to shoot (an arrow)	射（箭）	lʌtʔ	lʌtʔ							
	the flower	花	mentaʔ	mentaʔ				Tib.  me.tog			
	the rain	雨	mə	mə							
	the sky	天	mə	mə							
	the smoke	烟	mkʰə	mkʰə							
	to blow (of wind)	吹（灰）	mŋuʔ	mŋuʔ							
	tomorrow	明天	nǽʔrou	nǽʔrou							
	the worm	虫	ⁿbə́jo	ⁿbə́jo							
	the bark	桦树皮	ncʰæqʰoʔ	ncʰæqʰoʔ							
	to learn	学（文化）	ⁿdzeʔ	ⁿdzeʔ							
	to sing	唱歌	ⁿdʐauri	ⁿdʐauri							
	to hold	握	ndʒe	ndʒe							
	to climb	爬（树）	ⁿdʒərɣə́rɣe	ⁿdʒərɣə́rɣe							
	to burn [intransitive]	燃烧	net	net							
	to walk	走路	nftʃʰi	nftʃʰi							
	to burn [transitive]	烧（及物）	nɣdʒuf	nɣdʒuf							
	thou [second person singular]	你	niʔ	niʔ							
	to bite	（人）咬	nrcʰætʔ	nrcʰætʔ							
	to fear (be afraid)	害怕	nscər	nscər							
	the dew	露水	nsrət	nsrət							
	to choose	挑选	ntsʰəlʁe	ntsʰəlʁe							
	to chew	嚼	ntʃáχtʃa	ntʃáχtʃa							
	the breast (female)	乳房	nʌnua	nʌnua							
	black	黑	ɲaʔ	ɲaʔ							
	bad	坏	ŋən	ŋən				Tib. ŋan			
	I [first person singular]	我	ŋʌ	ŋʌ							
	all	全部	pa	pa							
	the pig	猪	pʰæ	pʰæ							
	the mountain	山	pʰǽtʔ	pʰǽtʔ							
	to cut	切、剪	pʰʌtʔ	pʰʌtʔ							
	the armpit	腋下	pjʌqəveʔ	pjʌqəveʔ							
	the foot	脚	qæli	qæli							
	big	大	qʰræʔ	qʰræʔ							
	to tie (together)	绑	rcʰe	rcʰe							
	to split	劈（柴）	rcʰə	rcʰə							
	to tie (together)	绑	rguvʔ	rguvʔ							
	cold (of temperature)	冷	rkʰua	rkʰua							
	the name	名字	rme	rme							
	to cut	切、剪	rpʌtsʌt	rpʌtsʌt							
	the back	后背	rvə́ske	rvə́ske							
	the needle (for sewing)	针	ʁæv	ʁæv							
	the fish	鱼	ʁdojoʔ	ʁdojoʔ							
	the bamboo	竹子	ʁjo	ʁjo							
	the fire	火	ʁməʔ	ʁməʔ							
	dark	暗、天黑	ʁne	ʁne							
	the earth (soil)	黄土	ʁɲuaʔ	ʁɲuaʔ							
	heavy	重	ʁrdətʔ	ʁrdətʔ							
	narrow	窄	ʁruaʔ	ʁruaʔ							
	dry	干	ʁruʔ	ʁruʔ							
	the hair (of the head)	头发	ʁʌrməʔ	ʁʌrməʔ							
	the blood	血	sə	sə							
	to die	死	sə	sə							
	to cook	煮	sɣiʔ	sɣiʔ							
	the tooth (front)	牙齿	sɣiʔ	sɣiʔ							
	to dig	掘	slo	slo							
	the nose	鼻子	snevʔ	snevʔ							
	to burn [transitive]	烧（及物）	sneʔ	sneʔ							
	the day (opposed to night)	白天	snə́gua	snə́gua							
	the frost	霜	sŋærʔ	sŋærʔ							
	to hide (conceal)	藏	speʔ	speʔ							
	the belly	肚子	stʰæʔ	stʰæʔ							
	the egg	蛋	stʰauʔ	stʰauʔ							
	the louse	虱子	sʌrʔ	sʌrʔ							
	to breathe	喘气	ʃəsɣi lʌlʌt	ʃəsɣi lʌlʌt							
	to burn [transitive]	烧（及物）	ʃoʔ	ʃoʔ							
	the meat	肉	tʰəmʔ	tʰəmʔ							
	to know	知道	tsʰeʔ	tsʰeʔ							
	to hit	打（人）	tsʰə	tsʰə							
	the salt	盐	tsʰi	tsʰi							
	the road	路	tʃʰi	tʃʰi							
	the work	工作	tʃoʔ	tʃoʔ							
	to come	来	tuaʔ	tuaʔ							
	below, under	下方（近指）	və́ʔ	və́ʔ							
	the person	人	vɟoʔ	vɟoʔ							
	to burn [transitive]	烧（及物）	vlua	vlua							
	yesterday	昨天	xsnəs	xsnəs							
	to count	数（数）	xtsər	xtsər							
	dry	干	zbeɣ	zbeɣ							
	the ashes	草木灰	χpʰiʔ	χpʰiʔ							
	to dig	掘	χtsʰjauʔ	χtsʰjauʔ							
	the dust	灰尘	pʰʌsləs	pʰʌsləs							
	firewood	柴	seʔ	seʔ							
	noon	中午	sáʔ-sə	sáʔ-sə							
	the noon	中午	sáʔ-sə	sáʔ-sə							
	the otter	水獭	srʌm	srʌm				Tib. sram			
	that	那	ʌtə	ʌtə							
	here	这里	cə-gəʔ	cə-gəʔ							
	the hoof	马蹄	qe	qe							
	red	红	mnəɣ	mnəɣ							
	the body hair (hair or fur)	毛	rmə	rmə							
	other	其他	kʰʌkʰæ	kʰʌkʰæ							
	to lie down	躺	zgreʔ	zgreʔ							
	the flea	跳蚤	səʔ	səʔ							
	left	左	skə-cuʔ	skə-cuʔ							
	the nit	虮子	srəʔ	srəʔ							
	to knead	揉（面）	lne	lne							
	to lick	舔	ⁿdzu	ⁿdzu							
	the sickle	镰刀	rjʌzʌrʔ	rjʌzʌrʔ							
	the forest	森林	sʌlæ	sʌlæ							
	late	迟	fskʰəsʔ	fskʰəsʔ							
	the lip (the lips)	嘴唇	mtʃʰə	mtʃʰə				Tib. mchu			
	to grow	生长	ɣiɣ	ɣiɣ							
	shy	害羞	nbəmʔ	nbəmʔ							
	three	三	xsəm	xsəm							
	five	五	mŋæʔ	mŋæʔ							
	the frog	青蛙	χspeʔ	χspeʔ							
	the wolf	狼	spjʌŋ-kə	spjʌŋ-kə				Tib. spyang.ku			
	the grass	草（总称）	χʃi	χʃi							
	the hail	冰雹	lmoʔ	lmoʔ							
	the ice	冰	rpʰəm	rpʰəm							
	the lake	湖	mtsʰua	mtsʰua				Tib. mtsho			
	the leaf	叶子	lpʰaχʔ	lpʰaχʔ							
	the mud	泥巴	ʁɲuaʔ	ʁɲuaʔ							
	the mud	黃泥巴 (房背上铺的)									
	the river	大河	ʁrɲəm	ʁrɲəm							
	the root	根	sæ-srəm	sæ-srəm							
	the sand	沙子	lbəɣ	lbəɣ							
	early	早	bjəm	bjəm							
	the mouth	嘴	mtʃʰə	mtʃʰə				Tib. mchu			
	the mouth	嘴	qʰo	qʰo							
	the shit	屎	rca-pi	rca-pi							
	the lung	肺	rtsʰʌsʔ	rtsʰʌsʔ							
	to steal	偷	fkə	fkə							
	the seed	种子	rvəʔ	rvəʔ							
	to sow (broadcast, scatter seeds)	下种	tsʰaujeʔ veʔ	tsʰaujeʔ veʔ							
	outside	外面	pʰjə	pʰjə							
	the skin	皮	dʒədʒo	dʒədʒo							
	the roof	房背（平顶）									
	the snow	雪	lveʔ	lveʔ							
	the thigh	大腿	vdəm	vdəm							
	the spider	蜘蛛	qʰʌsɲaʔ	qʰʌsɲaʔ							
	the tiger	老虎	staχ	staχ				Tib. stag			
	the stone (a piece of)	石头	rgəme	rgəme							
	the tree	树	sʌpʰua	sʌpʰua							
	the barley (tibetan or highland)	青稞									
	the woman	女人、女性	məleʔ	məleʔ							
	the woman	女人、女性	vaɣveʔ	vaɣveʔ							
	right	右	scʰiʔ	scʰiʔ							
	to yawn	打呵欠	sʁəm veʔ	sʁəm veʔ							
	good	好	ɟaʔ	ɟaʔ							
	light (of weight)	轻	je	je							
	the wheat	小麦	ʁjə	ʁjə							
	salty	咸	tsʰrə	tsʰrə							
	middle	中间	χcəlʔ	χcəlʔ				Tib. dkyil			
	to reside (live)	居住	rjeʔ	rjeʔ							
	painful	疼	ŋəm	ŋəm							
	the thunder	雷	mə-rŋəm	mə-rŋəm							
	the thunder	雷	ⁿbrək	ⁿbrək				Tib. 'brug			
	many	多	dja	dja							
	the wife	妻子	rjævʔ	rjævʔ							
	the husband	丈夫	vɟoʔ	vɟoʔ							
	the feather	羽毛	lŋəʔ	lŋəʔ							
	long	长	xsre	xsre							
	the tongue	舌头	sɲiʔ	sɲiʔ							
	young	年轻	ʃɣizi	ʃɣizi							
	the rope	绳子	breʔ	breʔ							
	the tail	尾巴	lmeʔ	lmeʔ							
	the heart	心脏	sjær	sjær							
	the liver	肝	fseʔ	fseʔ							
	the year	年	dɣoʔ	dɣoʔ							
	dirty	脏	pʰʌzdeʔ	pʰʌzdeʔ							
	new	新	sʌrpæ	sʌrpæ							
	warm (hot)	暖和	tsʰet	tsʰet							
	the night	晚上	ʃəɣærʔ	ʃəɣærʔ							
	smooth	光滑	vlauʔ	vlauʔ							
	who	谁	səɣ	səɣ							
	what	什么	tʰiɣ	tʰiɣ							
	where	哪里	ŋədəgə	ŋədəgə							
	how	怎样	tʰimda	tʰimda							
	few	少	mneʔ	mneʔ							
	thick	厚	jæɣ	jæɣ							
	small	小	zi	zi							
	the ear	耳朵	ɲoʔ	ɲoʔ							
	the eye	眼睛	miɣ	miɣ							
	the head	头	ʁoʔ	ʁoʔ							
	the wing	翅膀	lpʰʌvʔ	lpʰʌvʔ							
	high / tall	高	bre	bre							
	narrow	狭窄	tsrʌs	tsrʌs							
	to vomit	呕吐	npʰʌsʔ	npʰʌsʔ							
	the fat (grease)	肥膘									
	hot	热	skiʔ	skiʔ							
	the stick	棍子									
	the fox	狐狸	xtjiʔ	xtjiʔ							
	the moon	月亮	snauɣləʔ	snauɣləʔ							
	the sheep	绵羊	ʁje	ʁje							
	the neck	脖子	fqə	fqə							
	white	白	pʰrəm	pʰrəm							
	morning	早晨	fseɣi	fseɣi							
	the sun	太阳	ɣnəʔ	ɣnəʔ							
	the sun	太阳	ʁnjə	ʁnjə							
	to laugh	笑	nqʰʌt	nqʰʌt							
	the knee	膝盖	rŋi	rŋi							
	the horn (keratinized skin)	角	rə	rə				Tib. rus			
	the bone	骨头	ʃʌrə	ʃʌrə				Tib. sha.rus			
	round	圆（平面、立体）	χtəmʔ	χtəmʔ							
	sharp	锋利	zauʔ	zauʔ							
	to drink	喝	tʰe	tʰe							
	straight	直	sto	sto							
	far	远	tʰaʁraŋʔ	tʰaʁraŋʔ				Tib. thag.ring			
	to hear	听见	smi	smi							
	to see	看见	vde	vde							
	to play	玩、耍	nʁvrja	nʁvrja							
	to squeeze	挤（牙膏）	ntʃʰætʃʰæt	ntʃʰætʃʰæt							
	to think (reflect)	想（去）	nsəse	nsəse							
	to sit	坐	rjeʔ	rjeʔ							
	to kill	杀（人）	sæt	sæt							
	to be alive	（动物）活了	xso	xso							
	to fight	打架、打仗	χtsʰətsʰə	χtsʰətsʰə							
	yellow	黄	ʁrɲəɣ	ʁrɲəɣ							
	green	绿	ʁrŋə	ʁrŋə							
	full	满	χfsʌtʔ	χfsʌtʔ							
	the star	星星	zgrə	zgrə							
	to freeze (intransitive)	冻	rpʰəmʔ	rpʰəmʔ							
	to stab	刺	rdzuaʔ	rdzuaʔ							
	to hunt	打猎	rŋæ	rŋæ							
	to scratch	挠（痒）	ntsʰʌrʁæʔ	ntsʰʌrʁæʔ							
	to swim	游泳、（鱼）游	ndʒaχ	ndʒaχ							
	to spit	吐（痰）	stʰʌpʰʌ ncoʔ	stʰʌpʰʌ ncoʔ							
	to fly (move through air)	飞	ɣⁿbjəm	ɣⁿbjəm							
	to stand	站立	tʃʰəræ	tʃʰəræ							
	to turn (around)	转回、转身	nʁuale	nʁuale							
	to come	来	tuaʔ	tuaʔ							
	to give	送给	bə	bə							
	to give	送给	kʰə	kʰə							
	to rub	揉搓	ɣleʔ	ɣleʔ							
	to push	推	nrkʰʌɣʔ	nrkʰʌɣʔ							
	to wash	洗	rʒə	rʒə							
	to wipe	擦	pjʌs	pjʌs							
	to pull	拉	rʃə	rʃə							
	to throw	扔	ncoʔ	ncoʔ							
	to sew	缝	tʃʰuv	tʃʰuv							
	to say	说	rʌʔ	rʌʔ							
	the sea	海									
	the shoulder	肩膀	lvæʔ	lvæʔ							
	nine	九	ⁿgət	ⁿgət							
	to plant (vegetals, rice)	种（菜）	je	je							
	the cloud	云	ɣzdəm	ɣzdəm							
	one	一	rʌɣ	rʌɣ							
	two	二	ɣnʌs	ɣnʌs							
	four	四	vdiʔ	vdiʔ							
	the goat	山羊	tsʰʌtʔ	tsʰʌtʔ							
	the fruit	果实	sæsəʔ	sæsəʔ							
	the mosquito	蚊子	ɣvʌzæʔ	ɣvʌzæʔ							
	ten	十	sɣət	sɣət							
	to run	跑	ʁrju	ʁrju				Tib. rgyud			
	to forget	忘记	lmə	lmə							
	to swell	肿、胀	ɣbuv	ɣbuv							
	to float	浮	rge	rge							
	to sleep	睡	jəv	jəv							
	to smell (perceive odor) [transitive]	闻、嗅	nlələm	nlələm							
	inside	里面	gə	gə							
	the son	儿子	zeʔ	zeʔ							
	hundred	百	vrɣi	vrɣi							
	short	短	xtəs	xtəs							
	the girl	姑娘	məsnəmʔ	məsnəmʔ							
	the lightning	闪电	fslæɣʔ	fslæɣʔ							
	six	六	xtʃuʔ	xtʃuʔ							
	seven	七	sɲiʔ	sɲiʔ							
	eight	八	vjætʔ	vjætʔ							
	twenty	二十	nextsə	nextsə							
	correct (right)	对、正确	vɟe	vɟe							
	wet	湿	xtʃət	xtʃət							
	wet	湿	loʔ	loʔ							
	rotten (of fruits)	腐烂	χtsət	χtsət							
	the rainbow	虹	dʒædʒuʔ	dʒædʒuʔ				Tib. 'ja'			
	above	上方	tʰæ	tʰæ							
	above	上方	mŋo	mŋo							
	stone (of fruit)	核儿									
	the wood (material)	木头	seʔ	seʔ							
	to cry (weep)	哭	xtʃo	xtʃo							
	to cry (weep)	哭	ʁbəlæ	ʁbəlæ							
	sick	病	ⁿge	ⁿge							
	the sparrow	麻雀	pjəzeʔ	pjəzeʔ							
	soft	软	ⁿdʒʌm	ⁿdʒʌm				Tib. 'jam			
	hard	硬	rɣeʔ	rɣeʔ							
	there	那里	ʌtəgə	ʌtəgə							
	near	近	ntʰʌntʰa	ntʰʌntʰa				Tib. thag			
	near	近	tʃʰʌbætʔ	tʃʰʌbætʔ							
	the intestines	肠	noŋtʃæʔ	noŋtʃæʔ				Tib. nang.cha			
	the intestines	肠	rɟəmʌ	rɟəmʌ				Tib. rgyu.ma			
	to flow	（水）流									
	the dog	狗	kʰəniʔ	kʰəniʔ							
	the rice plant	水稻	ⁿbrʌs	ⁿbrʌs							
	the man (male human)	男人、男性	zeʔ	zeʔ							
	old (of person)	年老	rgʌn	rgʌn							
	the nail (fingernail or claw)	指甲	rdzeʔ	rdzeʔ							
	the mouse or rat	老鼠	pjə	pjə							
	to marry (a man marries a woman)	娶	rjæv nvi	rjæv nvi							
	the front (front side)	前面、正面	dʒəsʔ	dʒəsʔ							
	thin (object)	薄	beʔ	beʔ							
	the earthworm	蚯蚓	bədʒæ	bədʒæ							
	the dream	梦	rmoʔ	rmoʔ							
	horizontal	横	ʁvdəm	ʁvdəm							
	wide	宽	ləmʔ	ləmʔ							
